Date,Open,High,Low,Close,Adj Close,Volume
2023-04-24,2450.000000,2450.399902,2416.000000,2421.149902,2410.977051,184164
2023-04-25,2421.149902,2428.850098,2403.000000,2411.350098,2401.218262,198464
2023-04-26,2407.949951,2430.000000,2403.800049,2411.750000,2401.616455,261256
2023-04-27,2428.449951,2449.850098,2385.000000,2389.199951,2379.161133,330033
2023-04-28,2395.050049,2422.500000,2376.000000,2419.250000,2409.084961,378439
2023-05-02,2429.000000,2431.000000,2406.000000,2419.750000,2409.583008,189298
2023-05-03,2422.949951,2469.699951,2413.649902,2463.949951,2453.597168,536625
2023-05-04,2474.949951,2474.949951,2450.750000,2465.149902,2454.791992,299652
2023-05-05,2470.350098,2486.899902,2461.500000,2472.100098,2461.713135,341393
2023-05-08,2480.350098,2492.000000,2417.000000,2450.699951,2440.402832,682720
2023-05-09,2425.000000,2478.500000,2400.149902,2471.750000,2461.364502,1102876
2023-05-10,2477.000000,2544.899902,2477.000000,2509.399902,2498.856201,1196164
2023-05-11,2539.949951,2575.000000,2523.899902,2566.449951,2555.666504,840132
2023-05-12,2580.000000,2613.750000,2555.000000,2587.250000,2576.379150,671693
2023-05-15,2587.000000,2600.000000,2545.399902,2550.350098,2539.634277,248675
2023-05-16,2568.449951,2580.000000,2540.000000,2544.199951,2533.510010,202738
2023-05-17,2539.949951,2559.199951,2523.050049,2545.100098,2534.406250,655757
2023-05-18,2555.199951,2571.199951,2542.100098,2552.250000,2541.526123,394341
2023-05-19,2552.250000,2575.699951,2545.300049,2566.600098,2555.815918,313001
2023-05-22,2563.100098,2574.449951,2526.000000,2535.199951,2524.547852,255297
2023-05-23,2549.000000,2555.449951,2528.000000,2533.300049,2522.655762,183100
2023-05-24,2517.000000,2535.899902,2510.800049,2526.649902,2516.033691,234361
2023-05-25,2523.000000,2541.949951,2496.000000,2523.250000,2512.647949,359963
2023-05-26,2540.949951,2591.300049,2521.000000,2586.149902,2575.283691,311970
2023-05-29,2595.550049,2599.000000,2570.000000,2582.949951,2572.097168,219835
2023-05-30,2590.000000,2605.000000,2572.600098,2594.199951,2583.299805,181279
2023-05-31,2600.050049,2618.699951,2592.100098,2607.850098,2596.892578,495074
2023-06-01,2618.000000,2669.000000,2614.050049,2651.550049,2640.408936,478918
2023-06-02,2652.550049,2661.500000,2623.000000,2632.449951,2621.389160,263292
2023-06-05,2639.000000,2651.800049,2625.000000,2638.550049,2627.463623,115456
2023-06-06,2637.000000,2653.449951,2609.800049,2624.100098,2613.074463,127143
2023-06-07,2631.000000,2664.399902,2631.000000,2654.850098,2643.695068,182315
2023-06-08,2664.000000,2678.000000,2621.649902,2634.449951,2623.380859,164181
2023-06-09,2638.000000,2652.949951,2610.500000,2614.949951,2603.962646,100618
2023-06-12,2616.250000,2659.800049,2607.750000,2640.750000,2629.654297,234521
2023-06-13,2666.000000,2735.000000,2656.550049,2686.649902,2675.361328,874863
2023-06-14,2686.000000,2729.649902,2675.750000,2693.100098,2681.784424,513278
2023-06-15,2714.050049,2724.850098,2672.399902,2680.699951,2669.436523,401002
2023-06-16,2694.000000,2705.000000,2667.649902,2697.699951,2686.364990,435650
2023-06-19,2709.000000,2718.949951,2668.000000,2673.300049,2662.067627,300224
2023-06-20,2674.899902,2701.000000,2670.800049,2678.500000,2667.245605,447600
2023-06-21,2700.000000,2703.000000,2660.300049,2671.250000,2660.026123,347029
2023-06-22,2683.949951,2688.500000,2632.100098,2636.300049,2625.223145,163415
2023-06-23,2650.399902,2683.600098,2636.000000,2658.300049,2647.130615,789589
2023-06-26,2650.000000,2669.000000,2623.949951,2630.899902,2619.845703,243751
2023-06-27,2636.000000,2656.199951,2616.949951,2621.350098,2610.335938,362724
2023-06-28,2626.199951,2634.350098,2590.000000,2598.649902,2587.731201,770303
2023-06-30,2602.100098,2645.899902,2585.300049,2597.100098,2586.187744,722273
2023-07-03,2599.199951,2613.550049,2570.000000,2571.449951,2560.645508,473016
2023-07-04,2571.449951,2588.000000,2558.600098,2570.449951,2559.649658,438598
2023-07-05,2575.000000,2626.600098,2575.000000,2608.850098,2597.888428,543932
2023-07-06,2620.000000,2658.649902,2615.000000,2649.000000,2637.869629,326780
2023-07-07,2655.000000,2662.000000,2606.350098,2612.949951,2601.971191,310425
