Date,Open,High,Low,Close,Adj Close,Volume
2023-02-21,205.850006,205.949997,193.500000,196.350006,195.589005,3165543
2023-02-22,195.449997,197.449997,191.250000,195.449997,194.692490,929393
2023-02-23,197.350006,198.899994,193.250000,198.199997,197.431824,599663
2023-02-24,199.649994,199.649994,193.800003,196.800003,196.037247,570438
2023-02-27,196.750000,196.800003,190.649994,192.699997,191.953140,456850
2023-02-28,193.250000,194.449997,192.000000,192.899994,192.152359,332841
2023-03-01,193.649994,206.850006,193.600006,205.800003,205.002380,1537154
2023-03-02,205.699997,205.699997,201.000000,202.600006,201.814774,937305
2023-03-03,203.000000,204.550003,200.949997,203.550003,202.761093,409653
2023-03-06,204.000000,209.899994,202.000000,206.649994,205.849075,866506
2023-03-08,203.949997,209.500000,202.500000,207.699997,206.895004,383344
2023-03-09,207.600006,208.350006,203.399994,207.000000,206.197708,882097
2023-03-10,205.000000,208.449997,205.000000,206.199997,205.400818,292928
2023-03-13,205.800003,205.800003,195.500000,200.050003,199.274673,1096284
2023-03-14,200.050003,200.699997,196.000000,197.100006,196.336090,180088
2023-03-15,197.800003,202.699997,196.149994,200.500000,199.722916,298810
2023-03-16,199.100006,199.149994,194.600006,197.699997,196.933762,410591
2023-03-17,197.699997,200.000000,194.500000,196.850006,196.087067,333167
2023-03-20,197.000000,202.199997,194.800003,195.649994,194.891693,139498
2023-03-21,196.300003,198.000000,194.649994,195.800003,195.041122,109968
2023-03-22,196.000000,203.500000,195.750000,201.300003,200.519806,503210
2023-03-23,201.000000,201.600006,196.699997,200.949997,200.171173,292609
2023-03-24,200.000000,213.000000,200.000000,210.699997,209.883377,2430434
2023-03-27,210.500000,216.899994,207.000000,214.500000,213.668655,1233754
2023-03-28,214.000000,217.000000,185.000000,199.149994,198.378128,1336525
2023-03-29,204.600006,216.500000,204.600006,212.350006,211.526993,2219547
2023-03-31,215.000000,216.350006,209.350006,215.149994,214.316116,453121
2023-04-03,216.100006,233.449997,216.100006,230.550003,229.656448,2965278
2023-04-05,228.000000,246.600006,227.000000,241.149994,240.215363,2682651
2023-04-06,239.500000,250.850006,235.000000,247.750000,246.789780,2011615
2023-04-10,250.100006,256.600006,245.000000,254.449997,253.463806,1606626
2023-04-11,254.449997,255.399994,247.500000,251.449997,250.475449,1029460
2023-04-12,251.899994,260.299988,246.250000,257.450012,256.452179,1541055
2023-04-13,258.750000,269.250000,256.700012,267.950012,266.911499,3502242
2023-04-17,266.899994,266.899994,260.500000,262.850006,261.831268,826500
2023-04-18,262.899994,269.200012,257.649994,261.200012,260.187683,895505
2023-04-19,260.600006,268.000000,259.250000,266.149994,265.118469,779483
2023-04-20,265.250000,266.350006,260.049988,263.350006,262.329346,493347
2023-04-21,264.450012,270.799988,261.649994,266.049988,265.018860,1405818
2023-04-24,266.000000,272.500000,264.250000,266.100006,265.068695,2019355
