Date,Close,Volume,Open,High,Low,MA,RSI,Upper,Lower,EMA12,EMA26,MACD,Combined_Indicator,Signal,Actual_Position
2024-01-22,193.89,60133850,192.3,195.33,192.26,,,,,193.89,193.89,0.0,,S,S
2024-01-19,191.56,68902990,189.33,191.95,188.82,,,,,193.53153846153845,193.7174074074074,-0.18586894586894687,,S,S
2024-01-18,188.63,78005750,186.09,189.14,185.83,,,,,192.77745562130178,193.34056241426612,-0.5631067929643336,,S,S
2024-01-17,182.68,47317430,181.27,182.93,180.3,,,,,191.22400091033228,192.5508911243205,-1.3268902139882073,,S,L
2024-01-16,183.63,65603040,182.16,184.26,180.934,,,,,190.05569307797347,191.89008437437082,-1.8343912963973423,,S,L
2024-01-12,185.92,40477780,186.06,186.74,185.19,,,,,189.41943260443907,191.44785590219522,-2.0284232977561487,,S,S
2024-01-11,185.59,49128410,186.54,187.05,183.62,,,,,188.83028912683307,191.01394065018073,-2.183651523347663,,S,L
2024-01-10,186.19,46792910,184.35,186.4,183.92,,,,,188.42409079962798,190.6566117131303,-2.232520913502327,,S,S
2024-01-09,185.14,42841810,183.92,185.15,182.73,,,,,187.9188460612237,190.24797380845396,-2.329127747230274,,S,L
2024-01-08,185.56,59144470,182.085,185.6,181.5,,,,,187.55594666718926,189.90071648930925,-2.3447698221199857,,S,S
2024-01-05,181.18,62379660,181.99,182.76,180.17,,,,,186.575031795314,189.25473749010115,-2.6797056947871454,,S,L
2024-01-04,181.91,71983570,182.15,183.0872,180.88,,,,,185.85733459603495,188.71068286120476,-2.8533482651698137,,S,L
2024-01-03,184.25,58414460,184.22,185.88,183.43,,,,,185.6100523504911,188.38026190852293,-2.770209558031837,,S,L
2024-01-02,185.64,82488670,187.15,188.44,183.885,185.84071428571428,,,,185.61465968118478,188.17727954492864,-2.562619863743862,,S,L
2023-12-29,192.53,42672150,193.9,194.4,191.725,185.7435714285714,32.39261257522308,,,186.67855819177174,188.49970328234133,-1.821145090569587,,S,L
2023-12-28,193.58,34049900,194.14,194.66,193.17,185.88785714285717,34.737281067556296,,,187.74031846996073,188.87602155772345,-1.135703087762721,,S,S
2023-12-27,193.15,48087680,192.49,193.5,191.09,186.21071428571426,36.64760228772548,,,188.57257716688983,189.19261255344762,-0.6200353865577881,,S,S
2023-12-26,193.05,28919310,193.61,193.89,192.83,186.95142857142855,42.06008583690988,,,189.26141144890676,189.47834495689597,-0.21693350798921074,,S,L
2023-12-22,193.6,37149570,195.18,195.41,192.97,187.66357142857143,41.89641844885339,,,189.9288866106134,189.78365273786662,0.14523387274678612,,S,L
2023-12-21,194.68,46482550,196.1,197.08,193.5,188.28928571428574,41.35751580104426,197.52678959221385,179.05178183635763,190.6598271320575,190.14634512765429,0.5134820044032153,1.280696138148709,L,L
2023-12-20,194.83,52242820,196.9,197.68,194.83,188.9492857142857,41.8041804180418,198.31906131121661,179.5795101173548,191.30139218866404,190.49328252560582,0.8081096630582181,1.3198641121907964,L,L
2023-12-19,196.94,40714050,196.16,196.95,195.89,189.71714285714285,42.43270695784663,199.780548998102,179.6537367161837,192.16887031348494,190.97081715333871,1.1980531601462303,1.371849163496728,L,S
2023-12-18,195.89,55751860,196.09,196.63,194.39,190.48499999999999,42.43270695784663,201.087490472079,179.88250952792097,192.74135180371803,191.3352010679062,1.4061507358118206,1.395454679908284,L,L
2023-12-15,197.57,128538400,197.53,198.3999,197.0,191.34285714285716,42.887828162291164,202.22425657878497,180.46145770692934,193.4842207569922,191.79703802583907,1.687182731153115,1.436882113906214,L,L
2023-12-14,198.11,66831570,198.02,199.62,196.16,192.55214285714285,47.95336787564766,203.7010195529785,181.40326616130722,194.1958791020703,192.2646648387399,1.9312142633304177,1.6071594209191704,L,S
2023-12-13,197.96,70404180,195.09,198.0,194.85,193.6985714285714,47.68034325556447,205.15546340171187,182.24167945543093,194.77497462482873,192.68654151735174,2.0884331074769875,1.6251093299163144,L,S
2023-12-12,194.71,52696900,193.08,194.72,191.721,194.44571428571427,43.05633017289458,205.7430437791924,183.14838479223616,194.76497852870122,192.83642733088126,1.9285511978199565,1.498745051234783,L,S
2023-12-11,193.18,60943700,193.11,193.49,191.42,194.98428571428573,40.595203698353075,206.0429010268635,183.92567040170798,194.5211356781318,192.8618771582234,1.6592585199084056,1.4221043973911598,L,L
2023-12-08,195.71,53406360,194.2,195.99,193.67,195.21142857142857,37.42757821552723,205.96143620912474,184.4614209337324,194.70403788149613,193.07284922057724,1.6311886609188946,1.3363764154672226,L,S
2023-12-07,194.27,47477660,193.63,195.0,193.59,195.2607142857143,34.2449464922711,205.57471723520513,184.94671133622347,194.63726282280442,193.16152705609002,1.4757357667143935,1.2399805065640759,L,S
2023-12-06,192.32,41089740,194.45,194.76,192.11,195.20142857142855,32.29906542056074,204.00252036972867,186.40033677312843,194.2807608500653,193.09919171860187,1.1815691314634194,1.1664461634094003,L,L
2023-12-05,193.42,66628400,190.21,194.4,190.18,195.22785714285715,33.76083188908143,202.24707429818753,188.20863998752677,194.14833610390139,193.12295529500173,1.025380808899655,1.1954924036374954,L,S
2023-12-04,189.43,43389520,189.98,190.05,187.4511,194.93,28.954001260239465,200.7500823832115,189.10991761678852,193.4224382417627,192.84940305092752,0.573035190835185,1.0311041451874274,L,L
2023-12-01,191.24,45704820,190.33,191.56,189.23,194.68428571428572,29.879518072289173,199.19717380810863,190.1713976204628,193.08667851226076,192.73018801011807,0.35649050214269096,1.0386197401230783,L,S
2023-11-30,189.95,48794370,189.84,190.32,188.19,194.33571428571426,28.575606902603084,199.19672771698018,189.47470085444834,192.60411258729755,192.52424815751672,0.07986442978082664,0.9818071956249107,L,S
2023-11-29,189.37,43014220,190.9,192.09,188.97,193.79500000000002,25.073649754500835,199.10884646094772,188.48115353905231,192.10655680463637,192.2906001458488,-0.18404334121242982,0.8630396343929311,L,L
2023-11-28,190.4,38415420,189.78,191.08,189.4,193.40285714285713,27.534854245880894,198.94341487651536,187.8622994091989,191.8440096039231,192.15055569060073,-0.3065460866776277,0.9179782075136257,L,S
2023-11-27,189.79,40552610,189.92,190.67,188.9,192.84714285714284,24.33182922596322,198.66917098992846,187.02511472435722,191.52800812639646,191.9756997135192,-0.4476915871227334,0.8144327158664215,L,L
2023-11-24,189.97,24048340,190.87,190.9,189.25,192.2657142857143,23.673905304378778,198.31848955174328,186.2129390196853,191.28831456848928,191.82712936436963,-0.5388147958803415,0.7832383176859644,L,L
2023-11-22,191.31,39630010,191.49,192.93,190.825,191.7907142857143,26.094056172436325,197.8910965860727,185.6903319853559,191.29165078872168,191.78882348552744,-0.49717269680576237,0.845653954927012,L,S
2023-11-21,190.64,38134490,191.41,191.52,189.74,191.5,28.495007132667595,197.66922037213774,185.33077962786226,191.19139682122605,191.70372544956246,-0.5123286283364052,0.9066399346167606,L,L
