Date,Open,High,Low,Close,Adj Close,Volume,MA,RSI,MACD_Line,MACD_Signal_Line,MACD_Histogram,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower
2021-01-25,2034.949951,2034.949951,1932.0,1941.0,1922.178345,25016570.0,,0.0,,,,,,
2021-01-27,1925.0,1925.0,1888.0,1895.0,1876.624512,19553809.0,,0.0,,,,,,
2021-01-28,1880.150024,1923.300049,1870.0,1876.550049,1858.353394,15722291.0,,0.0,,,,,,
2021-01-29,1894.300049,1913.099976,1830.0,1841.949951,1824.088867,20173258.0,,0.0,,,,,,
2021-02-01,1859.400024,1905.0,1848.0,1895.300049,1876.921509,15774504.0,,35.006592218050784,,,,,,
2021-02-02,1914.25,1940.0,1854.949951,1925.800049,1907.125854,19138414.0,,45.84474062779182,,,,,,
2021-02-03,1928.300049,1952.0,1900.0,1930.650024,1911.928833,13984228.0,,47.24368328240022,,,,,,
2021-02-04,1924.0,1940.0,1905.0,1924.300049,1905.640259,11826848.0,,45.698108538297106,,,,,,
2021-02-05,1930.050049,1944.650024,1920.0,1923.75,1905.095703,9344470.0,1906.0333523333331,45.56897326961162,,,,,,
2021-02-08,1933.050049,1969.0,1929.050049,1951.449951,1932.526978,9776136.0,1907.1944579999997,52.34988676438491,,,,,,
2021-02-09,1961.949951,1989.599976,1952.300049,1956.150024,1937.181519,9047308.0,1913.988905111111,53.33627233135304,,,,,,
2021-02-10,1953.75,1984.75,1927.300049,1974.300049,1955.155518,9799560.0,1924.8500162222222,56.790379795578865,,,,,,
2021-02-11,1980.0,2064.199951,1972.25,2055.699951,2035.766113,19631870.0,1948.6000162222222,67.55969334571265,,,,,,
2021-02-12,2055.5,2078.0,2015.400024,2041.599976,2021.802734,14074374.0,1964.8555636666667,64.76371510716909,,,,,,
2021-02-15,2048.050049,2061.300049,2025.0,2032.599976,2012.890137,7287590.0,1976.7222222222222,63.09693410643621,,,,,,
2021-02-16,2039.75,2079.399902,2035.0,2059.5,2039.529419,9886093.0,1991.038886222222,74.87900064009659,,,,,,
2021-02-17,2060.0,2095.949951,2050.600098,2083.25,2063.049072,10957388.0,2008.699991888889,80.76806516412788,,,,,,
2021-02-18,2085.0,2108.399902,2059.100098,2067.699951,2047.649658,8605531.0,2024.6944308888887,85.62410156252562,,,,,,
2021-02-19,2057.0,2104.949951,2053.300049,2080.300049,2060.127686,10800704.0,2039.0111084444445,83.50234257071753,,,,,,
2021-02-22,2080.0,2089.899902,1994.949951,2008.099976,1988.627563,10985697.0,2044.7833253333333,62.948376846206145,,,,2122.376542423902,1973.2475037,1824.118464976098
2021-02-23,2048.0,2052.899902,2013.599976,2023.449951,2003.828857,11834752.0,2050.244425555555,64.13339616648202,,,,2127.3018930892995,1977.37000125,1827.4381094107007
2021-02-24,2030.0,2065.25,2026.150024,2061.0,2041.014648,4987735.0,2050.8333198888886,69.0124977189515,,,,2134.77916471576,1985.67000125,1836.56083778424
2021-02-25,2076.0,2152.0,2073.0,2144.350098,2123.556641,16085897.0,2062.2500001111107,74.93781962052151,,,,2154.85723582409,1999.0600037,1843.26277157591
