Date,Open,High,Low,Close,Adj Close,Volume
2023-10-26,326.649994,337.299988,313.000000,331.799988,331.799988,1008906
2023-10-27,332.149994,343.299988,332.149994,336.700012,336.700012,565998
2023-10-30,336.700012,337.600006,327.250000,329.149994,329.149994,394352
2023-10-31,329.950012,332.950012,321.950012,325.799988,325.799988,363349
2023-11-01,325.700012,344.899994,323.850006,339.200012,339.200012,1710333
2023-11-02,337.500000,342.000000,326.000000,337.399994,337.399994,7331918
2023-11-03,340.000000,351.000000,336.049988,341.700012,341.700012,2539574
2023-11-06,344.950012,344.950012,335.500000,337.299988,337.299988,5482019
2023-11-07,339.000000,340.850006,334.299988,337.649994,337.649994,584184
2023-11-08,339.000000,351.299988,338.000000,342.850006,342.850006,1549246
2023-11-09,344.000000,353.299988,343.950012,349.649994,349.649994,1882062
2023-11-10,349.049988,351.500000,339.799988,349.500000,349.500000,494883
2023-11-13,355.950012,355.950012,343.049988,345.200012,345.200012,245859
2023-11-15,353.000000,353.750000,345.299988,350.049988,350.049988,1023054
2023-11-16,350.950012,354.399994,340.149994,346.100006,346.100006,1598857
2023-11-17,347.899994,349.700012,340.000000,341.000000,341.000000,318941
2023-11-20,342.549988,345.700012,339.000000,340.850006,340.850006,193497
2023-11-21,340.049988,353.500000,340.049988,352.000000,352.000000,693822
2023-11-22,354.000000,357.000000,341.000000,342.299988,342.299988,917947
2023-11-23,344.450012,349.750000,338.000000,342.600006,342.600006,818024
2023-11-24,344.000000,347.750000,339.950012,340.399994,340.399994,409372
2023-11-28,341.899994,342.000000,335.000000,336.200012,336.200012,367590
2023-11-29,339.700012,375.399994,338.600006,373.149994,373.149994,8753169
2023-11-30,374.750000,375.899994,362.100006,365.250000,365.250000,1744108
2023-12-01,368.000000,371.000000,361.200012,366.600006,366.600006,681039
2023-12-04,372.100006,380.000000,365.000000,374.450012,374.450012,1163844
2023-12-05,378.500000,386.299988,373.649994,378.149994,378.149994,2141826
2023-12-06,380.799988,382.049988,369.899994,380.350006,380.350006,1606530
2023-12-07,379.200012,379.200012,371.899994,374.700012,374.700012,519721
2023-12-08,375.950012,378.899994,368.000000,373.850006,373.850006,253130
2023-12-11,373.000000,382.500000,368.750000,375.649994,375.649994,415923
2023-12-12,379.649994,388.399994,376.549988,383.350006,383.350006,1919095
2023-12-13,383.250000,383.950012,378.450012,381.649994,381.649994,260992
2023-12-14,386.000000,391.000000,380.049988,382.350006,382.350006,687553
2023-12-15,384.899994,384.899994,374.100006,383.200012,383.200012,453884
2023-12-18,383.200012,386.000000,377.799988,384.799988,384.799988,1157062
2023-12-19,384.000000,404.250000,379.200012,401.049988,401.049988,2242120
2023-12-20,401.000000,401.000000,372.250000,375.399994,375.399994,1080377
2023-12-21,374.000000,386.399994,369.000000,382.600006,382.600006,659226
2023-12-22,384.000000,388.000000,381.000000,384.000000,384.000000,323404
2023-12-26,384.000000,386.950012,377.950012,386.250000,386.250000,838526
2023-12-27,387.000000,389.750000,379.100006,382.750000,382.750000,222161
2023-12-28,384.299988,387.000000,376.600006,378.100006,378.100006,147907
2023-12-29,377.549988,389.200012,376.600006,386.250000,386.250000,609171
2024-01-01,386.000000,387.649994,380.000000,385.250000,385.250000,178572
2024-01-02,385.250000,385.250000,375.299988,377.950012,377.950012,397640
2024-01-03,378.000000,389.299988,377.100006,384.350006,384.350006,425901
2024-01-04,386.399994,387.000000,376.000000,380.100006,380.100006,254164
2024-01-05,385.750000,386.000000,379.149994,380.250000,380.250000,177513
2024-01-08,380.649994,383.049988,373.200012,375.899994,375.899994,176416
2024-01-09,377.049988,392.000000,374.149994,388.450012,388.450012,1774392
2024-01-10,390.100006,394.600006,381.649994,390.799988,390.799988,986025
2024-01-11,391.000000,396.899994,383.950012,389.549988,389.549988,772651
2024-01-12,392.950012,408.700012,385.850006,392.100006,392.100006,2202959
2024-01-15,397.000000,403.700012,394.200012,396.250000,396.250000,1711132
2024-01-16,398.399994,401.399994,382.000000,384.200012,384.200012,817975
2024-01-17,381.500000,405.000000,377.000000,400.649994,400.649994,1585112
2024-01-18,403.799988,409.549988,386.950012,401.200012,401.200012,1438249
2024-01-19,402.399994,408.700012,396.799988,399.950012,399.950012,330806
2024-01-22,399.950012,399.950012,399.950012,399.950012,399.950012,0
2024-01-23,406.299988,407.450012,394.500000,400.600006,400.600006,531575
2024-01-24,400.600006,407.000000,392.000000,397.100006,397.100006,574038
2024-01-25,405.899994,409.899994,397.100006,408.200012,408.200012,526481
