Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,356.700012,356.880005,349.750000,350.339996,349.457825,71190500
2023-10-26,349.119995,350.070007,342.350006,343.660004,342.794647,78621400
2023-10-27,346.429993,348.839996,344.079987,345.309998,344.440460,63476700
2023-10-30,347.829987,350.540009,346.450012,349.200012,348.320679,55298500
2023-10-31,349.230011,351.250000,346.619995,350.869995,349.986481,47671900
2023-11-01,351.720001,357.529999,351.619995,356.959991,356.061127,58992700
2023-11-02,361.540009,363.679993,360.299988,363.440002,362.524841,58162400
2023-11-03,364.750000,369.019989,364.519989,367.709991,366.784058,53239100
2023-11-06,368.489990,369.779999,366.910004,369.209991,368.280273,38848700
2023-11-07,370.269989,373.579987,369.049988,372.700012,371.761505,50777400
2023-11-08,373.079987,373.790009,370.619995,372.940002,372.000885,35663400
2023-11-09,373.640015,374.799988,369.570007,370.070007,369.138153,53859400
2023-11-10,371.820007,378.540009,371.279999,378.390015,377.437195,58309800
2023-11-13,376.790009,378.279999,375.239990,377.209991,376.260162,40733500
2023-11-14,383.709991,386.260010,383.179993,385.329987,384.359680,67792600
2023-11-15,387.250000,387.750000,384.239990,385.619995,384.648956,54141400
2023-11-16,384.839996,386.190002,383.559998,385.950012,384.978180,45343500
2023-11-17,385.209991,387.070007,384.290009,386.040009,385.067932,46571900
2023-11-20,386.049988,391.410004,386.049988,390.739990,389.756073,44429600
2023-11-21,389.010010,389.230011,386.700012,388.470001,387.491791,43337000
2023-11-22,390.570007,393.070007,389.040009,390.059998,389.077789,44121000
2023-11-24,389.649994,390.250000,388.500000,389.510010,388.529175,15718800
2023-11-27,389.010010,391.149994,388.279999,389.170013,388.190033,34139700
2023-11-28,388.410004,390.779999,388.049988,390.190002,389.207489,35491100
2023-11-29,392.690002,394.140015,389.459991,389.809998,388.828400,38811700
2023-11-30,390.079987,390.549988,385.820007,388.829987,387.850891,52834400
2023-12-01,387.750000,390.540009,386.070007,389.940002,388.958099,40440500
2023-12-04,386.089996,386.600006,382.660004,386.320007,385.347198,51186900
2023-12-05,384.390015,388.500000,384.209991,387.290009,386.314789,42933000
2023-12-06,390.269989,390.369995,384.700012,385.049988,384.080383,41994100
2023-12-07,388.070007,391.269989,386.959991,390.429993,389.446869,49593500
2023-12-08,388.670013,392.619995,388.480011,392.170013,391.182495,46623600
2023-12-11,391.739990,395.790009,391.529999,395.519989,394.524048,41198000
2023-12-12,395.559998,398.790009,394.410004,398.670013,397.666138,39221200
2023-12-13,399.619995,404.359985,398.839996,403.739990,402.723358,55408100
2023-12-14,404.980011,406.299988,400.339996,403.390015,402.374237,55447800
2023-12-15,404.179993,406.540009,403.570007,405.339996,404.319305,62598000
2023-12-18,404.929993,407.989990,404.600006,407.079987,406.865967,46610000
2023-12-19,407.540009,409.279999,407.350006,409.160004,408.944916,35711900
2023-12-20,408.350006,410.470001,402.899994,403.079987,402.868073,54042400
2023-12-21,407.059998,408.140015,404.470001,407.769989,407.555634,45568900
2023-12-22,409.000000,409.970001,406.480011,408.380005,408.165314,34292400
2023-12-26,409.250000,411.559998,409.149994,410.880005,410.664001,22722500
2023-12-27,410.950012,411.790009,410.079987,411.500000,411.500000,31980500
2023-12-28,412.670013,412.920013,410.940002,411.299988,411.299988,27029200
2023-12-29,411.279999,411.640015,407.579987,409.519989,409.519989,42633400
2024-01-02,405.839996,406.089996,400.239990,402.589996,402.589996,58026900
2024-01-03,399.929993,401.000000,397.890015,398.329987,398.329987,47002800
2024-01-04,396.440002,399.589996,396.059998,396.279999,396.279999,39432800
2024-01-05,396.450012,399.559998,395.339996,396.750000,396.750000,44867900
2024-01-08,397.989990,405.239990,397.839996,404.950012,404.950012,42473800
2024-01-09,401.910004,406.690002,401.709991,405.750000,405.750000,39132900
2024-01-10,406.070007,409.519989,405.170013,408.500000,408.500000,33962800
2024-01-11,409.790009,411.200012,404.239990,409.350006,409.350006,54536200
2024-01-12,410.399994,411.250000,408.149994,409.559998,409.559998,39581400
2024-01-16,408.309998,411.119995,406.829987,409.519989,409.519989,43903000
2024-01-17,406.170013,407.589996,402.920013,407.209991,407.209991,54386000
2024-01-18,410.519989,413.579987,409.160004,412.989990,412.989990,59562500
2024-01-19,415.220001,421.339996,414.630005,421.179993,421.179993,70268500
2024-01-22,423.410004,424.730011,421.119995,421.730011,421.730011,44880600
2024-01-23,422.429993,423.700012,420.570007,423.480011,423.480011,33003800
2024-01-24,427.440002,429.850006,425.329987,425.829987,425.829987,46746300
