Date,Open,High,Low,Close,Adj Close,Volume
2023-10-25,215.000000,216.600006,210.949997,211.479996,211.479996,6626525
2023-10-26,213.000000,214.490005,208.360001,208.740005,208.740005,11342653
2023-10-27,210.490005,215.000000,208.500000,210.570007,210.570007,4091227
2023-10-30,211.399994,211.990005,209.410004,211.520004,211.520004,2918057
2023-10-31,212.000000,214.000000,210.699997,210.979996,210.979996,2951982
2023-11-01,213.949997,213.949997,209.580002,209.990005,209.990005,2999324
2023-11-02,213.990005,213.990005,210.000000,211.639999,211.639999,3051034
2023-11-03,212.259995,213.770004,212.050003,212.690002,212.690002,1992691
2023-11-06,218.699997,218.699997,212.100006,214.559998,214.559998,2167020
2023-11-07,215.240005,215.250000,212.779999,214.490005,214.490005,1597162
2023-11-08,215.000000,215.199997,213.809998,214.830002,214.830002,2392335
2023-11-09,215.990005,217.000000,214.029999,214.300003,214.300003,2842726
2023-11-10,214.990005,214.990005,213.250000,214.240005,214.240005,3287453
2023-11-13,215.899994,215.990005,214.300003,214.550003,214.550003,2354220
2023-11-15,215.300003,217.229996,213.699997,216.970001,216.970001,4368209
2023-11-16,217.990005,219.250000,216.600006,218.160004,218.160004,2694681
2023-11-17,224.000000,224.000000,216.000000,218.020004,218.020004,1471094
2023-11-20,218.990005,218.990005,217.070007,217.350006,217.350006,1971539
2023-11-21,219.250000,219.250000,214.000000,218.389999,218.389999,2121413
2023-11-22,219.300003,219.300003,216.000000,218.529999,218.529999,1531757
2023-11-23,219.000000,219.199997,216.009995,218.559998,218.559998,2711176
2023-11-24,225.100006,225.100006,218.190002,218.479996,218.479996,2228129
2023-11-28,225.050003,225.050003,211.949997,219.559998,219.559998,3374192
2023-11-29,221.990005,221.990005,219.309998,221.660004,221.660004,4692734
2023-11-30,228.300003,228.300003,220.380005,222.130005,222.130005,4565515
2023-12-01,223.990005,223.990005,221.000000,223.750000,223.750000,3756906
2023-12-04,230.449997,230.449997,225.500000,228.179993,228.179993,5441571
2023-12-05,228.449997,230.279999,228.389999,230.059998,230.059998,2577043
2023-12-06,231.990005,231.990005,229.800003,230.940002,230.940002,3116228
2023-12-07,231.990005,231.990005,228.149994,230.830002,230.830002,2882798
2023-12-08,231.990005,231.990005,228.000000,231.360001,231.360001,1918130
2023-12-11,229.009995,232.100006,229.009995,231.789993,231.789993,2202370
2023-12-12,232.990005,232.990005,230.500000,230.960007,230.960007,2237630
2023-12-13,231.990005,231.990005,229.630005,231.149994,231.149994,2758600
2023-12-14,232.000000,234.500000,231.509995,233.990005,233.990005,2943517
2023-12-15,236.250000,237.000000,234.009995,236.619995,236.619995,3418211
2023-12-18,236.979996,237.000000,233.649994,236.570007,236.570007,2068813
2023-12-19,237.990005,237.990005,235.330002,236.699997,236.699997,2900959
2023-12-20,237.990005,238.880005,233.000000,233.250000,233.250000,4692122
2023-12-21,226.250000,238.000000,226.250000,234.600006,234.600006,4151474
2023-12-22,235.990005,236.350006,232.009995,235.500000,235.500000,2920568
2023-12-26,236.990005,237.300003,234.880005,236.929993,236.929993,1774284
2023-12-27,239.699997,239.699997,236.179993,238.910004,238.910004,4385669
2023-12-28,240.000000,240.500000,238.880005,240.160004,240.160004,2495578
2023-12-29,247.350006,247.350006,238.000000,239.649994,239.649994,4342820
2024-01-01,240.990005,241.139999,238.009995,240.350006,240.350006,3301679
2024-01-02,241.000000,241.000000,238.000000,239.210007,239.210007,2724450
2024-01-03,240.000000,240.000000,237.500000,237.740005,237.740005,2253252
2024-01-04,237.699997,239.589996,237.190002,239.300003,239.300003,2592068
2024-01-05,239.800003,240.000000,238.009995,239.740005,239.740005,3017800
2024-01-08,242.000000,242.000000,237.500000,237.679993,237.679993,3109332
2024-01-09,239.990005,239.990005,237.500000,237.779999,237.779999,2263399
2024-01-10,238.990005,238.990005,236.759995,238.759995,238.759995,2557090
2024-01-11,239.699997,239.699997,238.009995,238.869995,238.869995,2228747
2024-01-12,239.009995,242.350006,239.009995,241.729996,241.729996,3829943
2024-01-15,241.729996,241.729996,241.729996,241.729996,241.729996,0
2024-01-16,244.600006,244.990005,242.410004,243.240005,243.240005,3055350
2024-01-17,240.990005,243.000000,238.100006,238.380005,238.380005,6128145
2024-01-18,237.990005,238.210007,233.300003,237.509995,237.509995,6170369
2024-01-19,239.990005,239.990005,237.750000,239.149994,239.149994,2714133
2024-01-22,null,null,null,null,null,null
2024-01-23,null,null,null,null,null,null
2024-01-24,null,null,null,null,null,null
